"LineId","Month","Date","Time","Level","Component","PID","Content","EventId","EventTemplate"
"36","Oct","10","06:15:15","ns1","ftpd","27207","FTP session closed","E32","FTP session closed"
"37","Oct","10","06:15:15","ns1","ftpd","27197","FTP session closed","E32","FTP session closed"
"38","Oct","10","06:15:15","ns1","ftpd","27198","FTP session closed","E32","FTP session closed"
"39","Oct","10","06:15:15","ns1","ftpd","27204","FTP session closed","E32","FTP session closed"
"40","Oct","10","06:15:16","ns1","ftpd","27209","FTP session closed","E32","FTP session closed"
"41","Oct","10","06:15:16","ns1","ftpd","27212","FTP session closed","E32","FTP session closed"
"42","Oct","10","06:15:16","ns1","ftpd","27211","FTP session closed","E32","FTP session closed"
"43","Oct","10","06:15:16","ns1","ftpd","27213","FTP session closed","E32","FTP session closed"
"44","Oct","10","06:15:16","ns1","ftpd","27210","FTP session closed","E32","FTP session closed"
"45","Oct","10","06:15:16","ns1","ftpd","27214","FTP session closed","E32","FTP session closed"
"46","Oct","10","06:15:16","ns1","ftpd","27215","FTP session closed","E32","FTP session closed"
"47","Oct","10","06:15:16","ns1","ftpd","27217","FTP session closed","E32","FTP session closed"
"48","Oct","10","06:15:16","ns1","ftpd","27216","FTP session closed","E32","FTP session closed"
"49","Oct","10","18:52:24","ns1","sshd(pam_unix)","27934","authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=211.180.157.251  user=nobody","E10","authentication failure; logname= uid= <*> euid= <*> tty= ssh ruser= rhost= <*> user= nobody"
"50","Oct","10","18:52:24","ns1","sshd(pam_unix)","27935","authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=211.180.157.251  user=nobody","E10","authentication failure; logname= uid= <*> euid= <*> tty= ssh ruser= rhost= <*> user= nobody"
"51","Oct","10","18:52:26","ns1","sshd(pam_unix)","27936","authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=211.180.157.251  user=nobody","E10","authentication failure; logname= uid= <*> euid= <*> tty= ssh ruser= rhost= <*> user= nobody"
"52","Oct","10","18:52:30","ns1","sshd(pam_unix)","27937","authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=211.180.157.251  user=nobody","E10","authentication failure; logname= uid= <*> euid= <*> tty= ssh ruser= rhost= <*> user= nobody"
